2021-04-23 11:06:27,210  INFO | main | it.vinicioflamini.omt.order.OrderServiceApplication    | Starting OrderServiceApplication on DESKTOP-VOMVIUL with PID 5304 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\order-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\order-service) 
2021-04-23 11:38:15,664  INFO | http-nio-8891-exec-1 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:38:15,665  INFO | http-nio-8891-exec-1 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:38:17,182  INFO | http-nio-8891-exec-3 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:38:17,183  INFO | http-nio-8891-exec-3 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:38:17,807  INFO | http-nio-8891-exec-4 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:38:17,808  INFO | http-nio-8891-exec-4 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:38:21,740  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:38:21,740  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:38:22,369  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:38:22,370  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:38:23,557  INFO | http-nio-8891-exec-7 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:38:23,557  INFO | http-nio-8891-exec-7 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:38:24,182  INFO | http-nio-8891-exec-8 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:38:24,182  INFO | http-nio-8891-exec-8 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:38:39,705  INFO | http-nio-8891-exec-9 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:38:39,705  INFO | http-nio-8891-exec-9 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:38:41,021  INFO | http-nio-8891-exec-10 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:38:41,021  INFO | http-nio-8891-exec-10 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:38:41,729  INFO | http-nio-8891-exec-2 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:38:41,729  INFO | http-nio-8891-exec-2 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:38:43,384  INFO | http-nio-8891-exec-1 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:38:43,384  INFO | http-nio-8891-exec-1 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:38:44,964  INFO | http-nio-8891-exec-3 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:38:44,964  INFO | http-nio-8891-exec-3 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:38:50,361  INFO | http-nio-8891-exec-4 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:38:50,362  INFO | http-nio-8891-exec-4 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:38:51,099  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:38:51,100  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:39:41,668  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:39:41,668  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:39:44,848  INFO | http-nio-8891-exec-7 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:39:44,848  INFO | http-nio-8891-exec-7 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:39:46,302  INFO | http-nio-8891-exec-8 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:39:46,302  INFO | http-nio-8891-exec-8 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:39:59,904  INFO | http-nio-8891-exec-9 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:39:59,904  INFO | http-nio-8891-exec-9 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:40:01,511  INFO | http-nio-8891-exec-10 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:40:01,511  INFO | http-nio-8891-exec-10 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:40:11,568  INFO | http-nio-8891-exec-2 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:40:11,568  INFO | http-nio-8891-exec-2 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:40:19,143  INFO | http-nio-8891-exec-1 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:40:19,143  INFO | http-nio-8891-exec-1 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:40:22,090  INFO | http-nio-8891-exec-3 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:40:22,090  INFO | http-nio-8891-exec-3 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:40:39,963  INFO | http-nio-8891-exec-4 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:40:39,963  INFO | http-nio-8891-exec-4 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:40:41,386  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:40:41,387  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:40:42,300  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:40:42,300  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:40:42,998  INFO | http-nio-8891-exec-7 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:40:42,998  INFO | http-nio-8891-exec-7 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:41:31,085  INFO | http-nio-8891-exec-8 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:41:31,656  INFO | http-nio-8891-exec-8 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:45:35,750  INFO | http-nio-8891-exec-2 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:45:35,751  INFO | http-nio-8891-exec-2 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 11:51:11,059  INFO | http-nio-8891-exec-4 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 11:51:11,059  INFO | http-nio-8891-exec-4 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
