2021-04-23 11:05:37,515  INFO | main | i.v.omt.notification.NotificationServiceApplication    | Starting NotificationServiceApplication on DESKTOP-VOMVIUL with PID 12044 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\notification-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\notification-service) 
2021-04-23 11:38:09,616  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:10,722  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:10,722  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:11,631  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:11,631  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:12,360  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:12,361  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:13,111  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:13,111  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:14,934  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:14,934  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:15,671  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:15,671  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:17,189  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:17,189  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:17,812  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:17,812  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:21,745  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:21,745  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:22,374  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:22,374  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:23,564  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:23,564  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:24,188  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:24,188  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:39,714  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 11:38:39,714  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 11:38:41,027  INFO | [Ljava.lang.String;@1820cfe.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
